Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
74649,Capitalism: A Very Short Introduction,James Fulcher,"Fulcher, James",,"=""0192802186""","=""9780192802187""",3,3.56,Oxford University Press,Paperback,160,2004,2001,2018/01/01,2022/09/27,"books-i-own, paperback, english","books-i-own (#298), paperback (#282), english (#104)",read,,,,1,0
12943476,Islam: A Very Short Introduction,Malise Ruthven,"Ruthven, Malise",,"=""0199642877""","=""9780199642878""",4,3.27,Oxford University Press,Paperback,200,2012,1997,2016/01/01,2022/09/27,"books-i-own, paperback, english","books-i-own (#300), paperback (#284), english (#103)",read,,,,1,0
334271,Social and Cultural Anthropology: A Very Short Introduction,John    Monaghan,"Monaghan, John",Peter Just,"=""0192853465""","=""9780192853462""",3,3.68,Oxford University Press,Paperback,160,2000,2000,2016/01/01,2022/09/27,"books-i-own, paperback, english","books-i-own (#301), paperback (#285), english (#102)",read,,,,1,0
17070375,The Palestinian-Israeli Conflict: A Very Short Introduction,Martin Bunton,"Bunton, Martin",,"=""0199603936""","=""9780199603930""",4,4.04,Oxford University Press,Paperback,160,2013,2013,2017/01/01,2022/09/27,"books-i-own, paperback, english","books-i-own (#302), paperback (#286), english (#101)",read,,,,1,0
3318078,Law,Raymond Wacks,"Wacks, Raymond",,"=""0199214964""","=""9780199214969""",4,3.65,Oxford University Press,Paperback,172,2008,2008,2018/01/01,2022/09/27,"books-i-own, paperback, english","books-i-own (#304), paperback (#288), english (#99)",read,,,,1,0
74640,Foucault: A Very Short Introduction,Gary Gutting,"Gutting, Gary",,"=""0192805576""","=""9780192805577""",4,3.71,Oxford University Press,Paperback,135,2005,2005,2017/01/01,2022/09/27,"books-i-own, paperback, english","books-i-own (#305), paperback (#289), english (#98)",read,,,,1,0
12082,Wittgenstein: A Very Short Introduction (Very Short Introductions),A.C. Grayling,"Grayling, A.C.",,"=""0192854119""","=""9780192854117""",4,3.72,"Oxford University Press, USA",Paperback,160,2001,1988,2018/01/01,2022/09/27,"books-i-own, paperback, english","books-i-own (#306), paperback (#290), english (#97)",read,,,,1,0
13037465,Derrida: A Very Short Introduction (Very Short Introductions),Simon Glendinning,"Glendinning, Simon",,"=""""","=""9780191619977""",4,3.23,,Kindle Edition,145,,2011,2019/01/01,2022/09/27,"books-i-own, paperback, english","books-i-own (#308), paperback (#292), english (#95)",read,,,,1,0
1068673,Meditations,Marcus Aurelius,"Aurelius, Marcus",Maxwell Staniforth,"=""0141018828""","=""9780141018829""",5,4.28,Penguin UK,Paperback,164,2005,180,2015/01/01,2022/09/27,"books-i-own, paperback, english","books-i-own (#309), paperback (#293), english (#94)",read,,,,1,0
612957,The Myth of Sisyphus,Albert Camus,"Camus, Albert",Justin O'Brien,"=""0141023996""","=""9780141023991""",3,4.18,Penguin,Paperback,134,2005,1942,2018/01/01,2022/09/27,"books-i-own, paperback, english","books-i-own (#310), paperback (#294), english (#93)",read,,,,1,0
29760591,Sprog,Mikkel Wallentin,"Wallentin, Mikkel",,"=""8771249761""","=""9788771249767""",3,3.81,Aarhus Universitetsforlag,Paperback,60,2016,,2018/01/01,2022/09/27,"books-i-own, paperback, danish","books-i-own (#311), paperback (#295), danish (#11)",read,,,,1,0
44128694,Integration,Mikkel Rytter,"Rytter, Mikkel",,"=""8771842373""","=""9788771842371""",3,3.43,Aarhus Universitetsforlag,Paperback,60,2019,,2019/04/15,2019/04/15,"books-i-own, paperback, danish","books-i-own (#25), paperback (#296), danish (#10)",read,,,,1,0
23126398,Sandhed,Helge Kragh,"Kragh, Helge",,"=""""","=""""",3,3.26,Aarhus Universitetsforlag,Paperback,60,2014,2014,2019/01/01,2022/09/27,"books-i-own, paperback, danish","books-i-own (#312), paperback (#297), danish (#9)",read,,,,1,0
17793687,Danmark,Hans Hauge,"Hauge, Hans",,"=""""","=""""",3,3.06,Århus Universitetsforlag,Paperback,60,2013,2013,2019/01/28,2019/01/28,"books-i-own, paperback, danish","books-i-own (#313), paperback (#298), danish (#8)",read,,,,1,0
3010625,The Well At The World's End: Volume II,William Morris,"Morris, William","Lin Carter, Gervasio Gallardo","=""0345020154""","=""9780345020154""",4,3.87,Ballantine Books,Mass Market Paperback,242,1971,1896,2015/01/01,2022/09/27,"books-i-own, paperback, english","books-i-own (#315), paperback (#300), english (#92)",read,,,,1,0
2834775,Kroeglopen,Simon Carmiggelt,"Carmiggelt, Simon",,"=""""","=""""",3,3.98,,Paperback,149,1965,1962,2015/01/01,2022/09/27,"books-i-own, paperback, dutch","books-i-own (#321), paperback (#306), dutch (#31)",read,,,,1,0
43363254,"The Contract With God Trilogy: Life on Dropsie Avenue (The Contract With God Trilogy, #1-3)",Will Eisner,"Eisner, Will",,"=""0393061051""","=""9780393061055""",4,4.24,W.W. Norton & Company,Hardcover,498,2005,2005,2020/01/01,2022/09/27,"books-i-own, hardcover, english","books-i-own (#323), hardcover (#33), english (#88)",read,,,,1,0
45313456,Schetsboek van Johfra,Johfra Bosschart,"Bosschart, Johfra",,"=""""","=""""",5,5.00,Omniboek,Hardcover,155,1978,,2020/01/01,2022/09/27,"books-i-own, hardcover, dutch","books-i-own (#324), hardcover (#34), dutch (#30)",read,,,,1,0
70551,Republic,Plato,"Plato, Plato","C.D.C. Reeve, G.M.A. Grube","=""0872201368""","=""9780872201361""",4,3.96,"Hackett Publishing Company, Inc.",Paperback,300,1992,-400,2012/10/05,2022/09/27,"books-i-own, paperback, english","books-i-own (#325), paperback (#308), english (#87)",read,,,,1,0
18402910,Globalization: The Key Concepts,Thomas Hylland Eriksen,"Eriksen, Thomas Hylland",,"=""0857857428""","=""9780857857422""",4,3.51,Bloomsbury Academic,Paperback,228,2014,2007,2009/04/09,2022/09/26,"books-i-own, paperback, double, english","books-i-own (#262), paperback (#249), double (#4), english (#85)",read,,,,1,0
85767,Gender Trouble: Feminism and the Subversion of Identity,Judith Butler,"Butler, Judith",,"=""0415389550""","=""9780415389556""",4,4.05,Routledge,Paperback,236,2006,1989,2018/01/01,2022/09/27,"books-i-own, paperback, english","books-i-own (#327), paperback (#310), english (#83)",read,,,,1,0
38746185,Dødevaskeren,Sara Omar,"Omar, Sara",,"=""8740046656""","=""9788740046656""",3,4.13,Politikens Forlag,Paperback,321,2017,2017,2018/01/01,2022/09/28,"books-i-own, paperback, danish","books-i-own (#330), paperback (#313), danish (#6)",read,,,,1,0
28793069,Hvor taler du flot dansk!,Abdel Aziz Mahmoud,"Mahmoud, Abdel Aziz",,"=""8740030288""","=""9788740030280""",3,4.09,Politikens Forlag,Paperback,197,2016,2016,2018/01/01,2022/09/28,"books-i-own, paperback, danish","books-i-own (#331), paperback (#314), danish (#5)",read,,,,1,0
1099846,Madame Bovary,Gustave Flaubert,"Flaubert, Gustave",Geoffrey Wall,"=""0140448187""","=""9780140448184""",3,3.71,Penguin Books,Paperback,301,2001,1856,2019/09/30,2022/09/28,"paperback, books-i-own, english","paperback (#317), books-i-own (#335), english (#81)",read,,,,1,0
13688786,"Emotion, Identity, and Religion: Hope, Reciprocity, and Otherness",Douglas J. Davies,"Davies, Douglas J.",,"=""0199551537""","=""9780199551538""",3,4.00,Oxford University Press,Paperback,334,2011,2011,2019/01/01,2022/09/28,"books-i-own, paperback, english","books-i-own (#337), paperback (#319), english (#80)",read,,,,1,0
3036381,M.C. Escher: The Graphic Work,M. C. Escher,"Escher, M. C.",,"=""3836503182""","=""9783836503181""",4,3.94,Taschen America Llc,Hardcover,76,2008,1954,2015/01/01,2022/09/29,"books-i-own, hardcover, english","books-i-own (#338), hardcover (#39), english (#79)",read,,,,1,0
12383223,Verhoeven,Wil Derkse,"Derkse, Wil",,"=""9056375024""","=""9789056375027""",4,4.00,Uitgeverij Lemniscaat,Paperback,141,,,2011/02/24,2022/09/29,"books-i-own, paperback, dutch","books-i-own (#355), paperback (#336), dutch (#29)",read,,,,1,0
6063184,Zeg nu zelf...,Marten Toonder,"Toonder, Marten",,"=""9023405005""","=""9789023405009""",4,3.86,Bezige Bij,Paperback,205,1974,1974,2022/01/03,2022/01/03,"books-i-own, paperback, dutch","books-i-own (#40), paperback (#337), dutch (#28)",read,,,,1,0
7446368,En daar houd ik mij aan...,Marten Toonder,"Toonder, Marten",,"=""902340503X""","=""9789023405030""",4,3.78,Bezige Bij,Paperback,207,1975,1975,2021/10/11,2021/10/11,"books-i-own, paperback, dutch","books-i-own (#41), paperback (#338), dutch (#27)",read,,,,1,0
9398578,Overgehaalde landrotten,Marten Toonder,"Toonder, Marten",,"=""9023404688""","=""9789023404682""",4,4.02,De Bezige Bij,Paperback,227,1974,1974,2021/08/23,2021/08/23,"books-i-own, paperback, dutch","books-i-own (#3), paperback (#339), dutch (#26)",read,,,,1,0
41731319,M. Il figlio del secolo,Antonio Scurati,"Scurati, Antonio",,"=""8845298132""","=""9788845298134""",4,4.18,Bompiani,Paperback,841,2018,2018,2022/02/21,2022/02/21,"books-i-own, paperback, italian","books-i-own (#44), paperback (#156), italian (#2)",read,,,,1,0
25632619,De avonturen van tante Pollewop,Godfried Bomans,"Bomans, Godfried",,"=""9010010708""","=""9789010010704""",3,3.81,Elsevier/ Amsterdam-Brussel,Paperback,239,1972,1948,2022/02/07,2022/02/07,"books-i-own, paperback, dutch","books-i-own (#359), paperback (#344), dutch (#23)",read,,,,1,0
1358539,The Interpretation of Cultures,Clifford Geertz,"Geertz, Clifford",,"=""0006862608""","=""9780006862604""",4,4.11,Fontana Press,Paperback,356,2010,1973,2019/01/01,2022/09/29,"books-i-own, paperback, english","books-i-own (#366), paperback (#350), english (#70)",read,,,,1,0
55888630,XTC. Een biografie,Philippus Zandstra,"Zandstra, Philippus",Wietse Pottjewijd,"=""9021409739""","=""9789021409733""",5,4.11,Querido Fosfor,Paperback,304,2020,,2021/03/29,2021/03/29,"books-i-own, paperback, dutch","books-i-own (#22), paperback (#352), dutch (#22)",read,,,,1,0
17297652,Multicuturalism,Tariq Modood,"Modood, Tariq",,"=""0745662870""","=""9780745662879""",3,3.44,Wiley,Paperback,208,2013,2007,2012/10/29,2022/10/01,"books-i-own, paperback, english","books-i-own (#368), paperback (#353), english (#68)",read,,,,1,0
